,Tittel,Abstrakt,Årstall
8,Loan Loss Provisioning of Banks involved in the TARP Government Bailout Program,"I examine how participation in the Capital Purchase Program (government bailout program implemented as a part of the TARP) affected the provisioning behaviour of banks before, during and after the program's implementation.",2024
9,Exploring the Role of Industrial Symbiosis in Advancing the Green Transition: A Case Study of Maritime Clusters in Western Norway,"Introduction: While industrial symbiosis is gaining international recognition, research in a Norwegian and maritime context remains limited. This thesis addresses this literature gap by exploring the role of industrial ...",2024
20,Bankruptcy Prediction of the Commercial Real Estate Sector,"This thesis aims to examine whether the increase in real interest rates after 2022 could

heighten the risk of bankruptcy within the Norwegian real estate market. We will utilize

Ohlson’s O-score, a well-established model ...",2024
21,"Psychological traits and saving habits: What psychological traits have the highest impact on saving habits, and how do they influence the relationship between financial knowledge and saving habits?","The aim of this study is to provide information about how certain psychological traits influence saving habits among households. To analyze the influence, we utilized a dataset based on a representative survey from Consumer ...",2024
22,Geopolitical Crisis and the Green Bond Market: The Impact of the Russian Invasion of Ukraine on European and US Green Bond Markets,"Green bonds are fairly new, yet important financial tools in the fight against climate change, with various studies highlighting their role in achieving a more sustainable future. Different studies have investigated the ...",2024
28,Generativ AI –  Fra generell til genial,"Denne masteroppgaven utforsker ny teknologi innenfor feltet generativ AI. Oppgaven utforsker effekten av skreddersydd Large Language Model (LLM) sammenlignet med generell LLM, med fokus på produktivitet, kvalitet og ...",2024
29,Congestion Management in the Nordic Power Market: Effects of Redispatch A Direct-Current Optimal Power Flow Model,"The nodal and zonal debate has been discussed many times. However, the zonal “market-clearing” solution would not clear the market without some form of redispatch taking place: not all line-capacity constraints are considered ...",2024
30,Key Challenges and Potential Solutions for Implementing Sustainable Business Models at Football Stadiums,"This research explores the integration of sustainable business models within football clubs, especially in the context of sporting events, utilizing the Norwegian football club’s SK Brann’s project and RESTART framework ...",2024
35,Aware of the future? Corporate Sustainability in Europe: An analysis of the influence of CEOs’ linguistic future awareness on European firms’ ESG performance,Previous research in linguistics has revealed that languages are heterogeneous in how they encode time and separate the future from the present. Recent economics research shows that speakers of languages which require ...,2024
37,Do ESG ratings promote green innovation inside the European Union?,"The research provides a detailed analysis of environmental, social and governance (ESG) factors in the context of EU Member States. The impact of ESG metrics is explored, ranging up from their roots conceptualized with ...",2024
42,Route Planning for Tourists and Scoring Systems Metaheuristic Approach and DEA Optimization for Designing One-Day Tourist Route with Bergen as a Case,This thesis indicates the challenges travelers face when planning trips in cities they are unfamiliar with and proposes a method to help travelers plan their routes. It would use Bergen as an example. The main issues in ...,2024
47,Understanding the concept of data-driven organizations : A study on how data-driven approaches impact management accounting,"During the last decade, an increasing amount of data has shifted the focus on how organizations can utilize this data at best. Along came a new concept, data driven. Data-driven organizations are consistently being praised ...",2024
