,Tittel,Abstrakt,Årstall
136,Adopt or Abort? Mapping students’ and professors’ attitudes towards the use of generative AI in higher education,This exploratory and descriptive study investigates the attitudes of students and professors at Norwegian School of Economics (NHH) towards the implementation of Generative Artificial Intelligence (GenAI) in higher education. ...,2023
172,Transformative Effects of Tokenization and Wholesale CBDC on Bonds : An exploratory study of the technologies’ interplay and disruptive effects on the bond market's value chain,Distributed ledger technology (DLT) and tokenization are emerging technologies with the potential to transform financial markets through digitization and programmability. Presenting assets as digital tokens on blockchain ...,2023
175,Exploring The Possibilities of Investing in Artificial Intelligence : A comprehensive analysis of NQROBO index performance,"This thesis investigates the potential of beating the market index for an investor by investing
in Artificial Intelligence (AI). We have analysed the performance of Nasdaq CTA Artificial
Intelligence & Robotics (NQROBO) ...",2023
210,Interest Rates and their Differential Effect on the Pricing of Green and Conventional Bonds : An empirical analysis of the Nordic and US bond market from 2017-2023,"Financial markets play a significant role in the transition towards a net-zero economy. Recent events, specifically the pandemic and Ukraine conflict, have been drivers for increased volatility in financial instruments, ...",2023
246,Consumer Adoption of AI-Powered Chatbots: Developing a Customized Adoption Model,"Recent advancements in Artificial Intelligence have transformed the business landscape, with
AI-powered chatbots playing a crucial role in enhancing customer service and automating
tasks. As current literature seems to ...",2023
261,Leveraged Buyouts in the Era of Quantitative Easing : An Empirical Analysis of European Private Equity Buyouts B Unconventional Monetary Policies,"Using proprietary European data on private equity (PE) buyouts, this thesis contributes
to the growing research on the relationship between financial markets, investment decisions
and quantitative easing. Detailed country ...",2023
275,"Artificial Intelligence and Firm Performance in Norway : ""Which Norwegian firms are adopting Artificial Intelligence, and how does the adoption of AI affect firm performance?""","This thesis investigates firms’ adoption of artificial intelligence technology and its effects on
firm performance. Due to the rapid technological advances of artificial intelligence, this field
of research is still ...",2023
439,Central Bank Sentiment Analysis  and Asset Prices  : Using Machine Learning and Natural Language Processing to  Conduct Sentiment Analysis for Predicting Stock Prices in a Norwegian Financial Context,"This thesis seeks to investigate the relationship between text sentiment in central bank
communication and stock market returns in a Norwegian context using a machine learning
approach. We collect textual data from Norges ...",2023
551,Bu y on Intraday Market or not: A Deep Learning Approach :A decision tool for buyers in the Norwegian electricity markets to decide optimal market to purchase electricity,"As the share of variable renewable energy sources increases, so does the need for near-delivery
offloading of surplus electricity. The availability of potentially cheap energy sources in intraday
markets begs warrants ...",2022
586,Did Financial Markets React to the Overturning of Roe v. Wade? An Event Study on the U.S. Stock Market’s Response to Legislation Aﬀecting Reproductive Rights,"Abortion has remained a contentious issue across the United States for the better part of the last century. On June 24th, 2022, the Supreme Court overturned Roe v. Wade which had provided constitutional protection of ...",2022
647,The Dynamics in Financial Markets During the Russia- Ukraine War : A quantitative analysis of stock prices in the oil and gas industry,"This thesis analyses the impact of statements regarding Russian petroleum during the Russia-
Ukraine war on stock prices of oil and gas companies in Europe. In addition, the paper analyses
differences in this impact on ...",2022
